id,count_of_investments,sum_of_investments,users_age,occupation_normalized,investment_objectives,investment_experience,risk_tolerance,years_investing_illiquid,marital_status,investment_time_horizon,liquid_net_worth,years_investing_securities,income_information_type,Cluster
387,1,11200.0,38,Law,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,5 – 10 years,"$500,001 - $1,000,000",10 - 15 years,joint,4
418,2,26800.0,36,Entrepreneur/Investor,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,5 – 10 years,"$100,001 - $250,000",1 - 5 years,joint,4
426,1,28000.0,43,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4
433,5,60000.0,33,Financial Professional,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$250,001 - $500,000",5 - 10 years,individual,2
435,1,39200.0,42,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,Unknown,4
442,1,5000.0,35,Real Estate,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$100,001 - $250,000",5 - 10 years,Unknown,4
471,3,46000.0,41,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,individual,2
480,3,90000.0,43,Real Estate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,10 – 20 years,"$2,500,001 - $10,000,000",15 - 20 years,individual,3
484,2,45000.0,39,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Unknown,1 – 5 years,"$500,001 - $1,000,000",15 - 20 years,individual,4
484,2,45000.0,39,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",4=professional,Unknown,5 - 10 years,Unknown,Unknown,Unknown,10 - 15 years,Unknown,4
632,1,10000.0,45,Corporate,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,< 1 year,"$100,001 - $250,000",1 - 5 years,individual,4
640,10,85000.0,48,Financial Professional,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$1,000,001 - $2,500,000",> 20 years,Unknown,3
640,10,85000.0,48,Financial Professional,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$500,001 - $1,000,000",> 20 years,Unknown,3
640,10,85000.0,48,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$500,001 - $1,000,000",> 20 years,Unknown,3
669,4,121000.0,39,Real Estate,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,Unknown,2
689,1,25000.0,58,Consulting,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Married,5 – 10 years,"$1,000,001 - $2,500,000",> 20 years,individual,1
796,2,25000.0,39,Financial Professional,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Single,1 – 5 years,"$100,001 - $250,000",10 - 15 years,individual,4
796,2,25000.0,39,Financial Professional,Unknown,Unknown,Unknown,Unknown,Single,Unknown,Unknown,Unknown,Unknown,4
901,2,35000.0,48,Unknown,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Unknown,1 – 5 years,"$1,000,001 - $2,500,000",> 20 years,Unknown,1
904,1,50000.0,66,Real Estate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,Unknown,1
904,1,50000.0,66,Real Estate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$1,000,001 - $2,500,000",15 - 20 years,Unknown,1
941,1,20000.0,51,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$2,500,001 - $10,000,000",> 20 years,individual,1
1028,1,30000.0,73,Education,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$1,000,001 - $2,500,000",1 - 5 years,individual,1
1058,1,11200.0,37,Law,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,5 – 10 years,"$100,001 - $250,000",5 - 10 years,joint,4
1067,1,25000.0,62,Retired,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Unknown,1 – 5 years,"$1,000,001 - $2,500,000",> 20 years,Unknown,1
1067,1,25000.0,62,Retired,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,joint,1
1104,1,28000.0,43,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4
1112,1,5000.0,39,Law,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$100,001 - $250,000",10 - 15 years,Unknown,4
1121,2,125000.0,56,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Unknown,1 – 5 years,"$2,500,001 - $10,000,000",> 20 years,Unknown,1
1121,2,125000.0,56,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Unknown,> 20 years,Unknown,Unknown,Unknown,> 20 years,Unknown,1
1146,1,56000.0,51,Financial Professional,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,individual,1
1187,2,20000.0,52,Entrepreneur/Investor,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,2=moderate,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$500,001 - $1,000,000",> 20 years,joint,1
1197,2,106000.0,47,Asset Management,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Unknown,5 – 10 years,"$1,000,001 - $2,500,000",10 - 15 years,individual,1
1197,2,106000.0,47,Asset Management,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Unknown,5 – 10 years,"$1,000,001 - $2,500,000",10 - 15 years,Unknown,1
1198,1,56000.0,46,Science & Engineering,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,individual,1
1205,1,20000.0,42,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,1 – 5 years,"$100,001 - $250,000",5 - 10 years,joint,4
1256,1,11200.0,42,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$500,001 - $1,000,000",5 - 10 years,individual,4
1272,8,110000.0,66,Science & Engineering,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$500,001 - $1,000,000",> 20 years,individual,0
1279,2,11000.0,35,Science & Engineering,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,1 – 5 years,"$500,001 - $1,000,000",1 - 5 years,Unknown,4
1289,2,56000.0,54,Real Estate,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
1316,1,50000.0,40,Asset Management,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",2=moderate,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,1 – 5 years,"$2,500,001 - $10,000,000",5 - 10 years,individual,4
1387,3,100000.0,36,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,1 – 5 years,"$500,001 - $1,000,000",10 - 15 years,individual,2
1400,7,75500.0,54,Science & Engineering,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Low (Risk Averse): I am willing to accept little to no risk or the potential of loss of capital.,1 - 5 years,Single,< 1 year,"$100,001 - $250,000",> 20 years,individual,3
1400,7,75500.0,54,Science & Engineering,Unknown,Unknown,Unknown,Unknown,Single,Unknown,Unknown,Unknown,Unknown,3
1406,1,11200.0,37,Entrepreneur/Investor,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,2=moderate,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,5 – 10 years,"$100,001 - $250,000",1 - 5 years,Unknown,4
1531,3,30019.93,41,Science & Engineering,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Married,10 – 20 years,"$500,001 - $1,000,000",10 - 15 years,individual,2
1536,2,15000.0,39,Science & Engineering,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$250,001 - $500,000",10 - 15 years,individual,2
1536,2,15000.0,39,Science & Engineering,Unknown,Unknown,Unknown,Unknown,Single,Unknown,Unknown,Unknown,Unknown,4
1536,2,15000.0,39,Science & Engineering,Unknown,Unknown,Unknown,Unknown,Single,Unknown,Unknown,Unknown,Unknown,4
1541,1,10000.0,58,Unknown,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Unknown,1 – 5 years,"$1,000,001 - $2,500,000",15 - 20 years,Unknown,1
1541,1,10000.0,58,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1
1562,7,225000.0,45,Executive,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Unknown,5 – 10 years,"$500,001 - $1,000,000",10 - 15 years,individual,3
1562,7,225000.0,45,Executive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3
1572,1,15000.0,54,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,15 - 20 years,Single,1 – 5 years,"$1,000,001 - $2,500,000",> 20 years,individual,1
1660,6,80000.0,36,Asset Management,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$500,001 - $1,000,000",1 - 5 years,individual,2
1675,11,323600.0,42,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,5 – 10 years,"$500,001 - $1,000,000",10 - 15 years,Unknown,2
1675,11,323600.0,42,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,15 - 20 years,Married,5 – 10 years,"$250,001 - $500,000",15 - 20 years,Unknown,2
1692,2,60000.0,58,Consulting,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,5 – 10 years,"$1,000,001 - $2,500,000",10 - 15 years,joint,1
1700,1,5000.0,68,Retired,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Single,1 – 5 years,"$100,001 - $250,000",15 - 20 years,Unknown,1
1748,5,60400.0,41,Unknown,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Unknown,5 – 10 years,"$1,000,001 - $2,500,000",10 - 15 years,Unknown,2
1748,5,60400.0,41,Unknown,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,10 - 15 years,Unknown,5 – 10 years,"$1,000,001 - $2,500,000",10 - 15 years,Unknown,2
1748,5,60400.0,41,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,individual,2
1748,5,60400.0,41,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,individual,2
1811,1,10000.0,63,Consulting,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Married,1 – 5 years,"$500,001 - $1,000,000",> 20 years,joint,1
1865,4,75000.0,35,Asset Management,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Single,1 – 5 years,"$1,000,001 - $2,500,000",5 - 10 years,individual,2
1871,4,185000.0,45,Corporate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",3=extensive,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,10 – 20 years,"$500,001 - $1,000,000",15 - 20 years,joint,3
1882,6,70000.0,62,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$500,001 - $1,000,000",> 20 years,individual,0
1929,1,25000.0,66,Financial Professional,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Married,5 – 10 years,"$500,001 - $1,000,000",> 20 years,individual,1
1929,1,25000.0,66,Financial Professional,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",2=moderate,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,5 – 10 years,"$250,001 - $500,000",5 - 10 years,Unknown,1
1982,2,50000.0,57,Medical Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,5 – 10 years,"$500,001 - $1,000,000",5 - 10 years,individual,1
1986,2,90000.0,80,Asset Management,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,15 - 20 years,Single,10 – 20 years,"$2,500,001 - $10,000,000",> 20 years,individual,0
1986,2,90000.0,80,Asset Management,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Single,5 – 10 years,"$2,500,001 - $10,000,000",> 20 years,individual,0
1992,4,50000.0,36,Corporate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",2=moderate,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$250,001 - $500,000",5 - 10 years,individual,2
2057,2,15000.0,39,Corporate,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,3=extensive,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,1 – 5 years,"$500,001 - $1,000,000",1 - 5 years,individual,4
2078,1,25000.0,56,Real Estate,"Growth: You are focused on increasing the value of your investment over time through either current income, asset appreciation or both, recognizing that higher returns may be correlated to higher risk.",4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,15 - 20 years,Married,1 – 5 years,"$500,001 - $1,000,000",15 - 20 years,Unknown,1
2078,1,25000.0,56,Real Estate,Unknown,Unknown,Unknown,Unknown,Married,Unknown,Unknown,Unknown,Unknown,1
2092,1,5000.0,52,Financial Professional,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,1 - 5 years,Married,5 – 10 years,"$100,001 - $250,000",5 - 10 years,individual,1
2111,16,155000.0,60,Asset Management,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,> 20 years,Married,5 – 10 years,"$100,001 - $250,000",> 20 years,individual,0
2129,19,515000.0,47,Real Estate,"Income: You are focused on investments that provide current income, rather than the potential for significant long-term growth of principal.",4=professional,Moderate: I am willing to accept a moderate amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,5 - 10 years,Married,1 – 5 years,"$500,001 - $1,000,000",> 20 years,individual,3
2160,19,547902.0,62,Real Estate,Speculation: You are focused solely on achieving the highest possible overall returns and you recognize and are able to bear the full risk of loss of some or all principal in such investments.,4=professional,High (Risk Tolerant): I am willing to accept a high amount of risk including the potential loss of all capital invested for the potential of long or short term capital gain.,15 - 20 years,Married,5 – 10 years,"$250,001 - $500,000",> 20 years,individual,0
